# Time-averaged data for fix fxAvg
# TimeStep v_vTemp v_vPress v_vDens v_vPE v_vKE v_vEtot v_vVol
267000 298.836 -293.346 0.988123 -8918.03 1445.73 -7472.31 24546.1
268000 296.888 374.981 0.988123 -8941.11 1436.3 -7504.81 24546.1
269000 293.201 122.762 0.988123 -8929.29 1418.46 -7510.83 24546.1
270000 297.94 -248.27 0.988123 -8863.77 1441.39 -7422.38 24546.1
271000 299.107 -293.692 0.988123 -8892.46 1447.04 -7445.42 24546.1
272000 297.855 -401.544 0.988123 -8923.84 1440.98 -7482.86 24546.1
273000 303.853 -235.879 0.988123 -8881.94 1470 -7411.94 24546.1
274000 298.14 -250.577 0.988123 -8927.83 1442.36 -7485.47 24546.1
275000 294.387 95.3425 0.988123 -8965.75 1424.2 -7541.54 24546.1
276000 292.649 -108.712 0.988123 -8949.94 1415.79 -7534.15 24546.1
277000 299.999 -94.7837 0.988123 -8922.32 1451.35 -7470.96 24546.1
278000 298.125 -198.567 0.988123 -9008.03 1442.28 -7565.75 24546.1
279000 298.072 205.113 0.988123 -8979.93 1442.03 -7537.9 24546.1
280000 297.462 511.504 0.988123 -8970.69 1439.08 -7531.61 24546.1
281000 298.797 307.164 0.988123 -8941.48 1445.53 -7495.94 24546.1
282000 300.759 184.065 0.988123 -8905.67 1455.03 -7450.64 24546.1
283000 292.727 87.8969 0.988123 -8942.55 1416.17 -7526.38 24546.1
284000 301.726 187.365 0.988123 -8913.81 1459.71 -7454.11 24546.1
285000 297.886 311.661 0.988123 -8898.65 1441.13 -7457.52 24546.1
286000 296.021 289.236 0.988123 -8971.42 1432.11 -7539.31 24546.1
287000 297.335 -173.737 0.988123 -8957.29 1438.47 -7518.82 24546.1
288000 299.849 126.358 0.988123 -8919.86 1450.63 -7469.23 24546.1
289000 289.6 -389.767 0.988123 -8997.11 1401.04 -7596.06 24546.1
290000 293.914 -116.01 0.988123 -8998.26 1421.91 -7576.34 24546.1
291000 298.964 -257.602 0.988123 -8932.14 1446.34 -7485.8 24546.1
292000 297.309 -637.421 0.988123 -8882.02 1438.34 -7443.68 24546.1
293000 293.771 -254.385 0.988123 -8953.56 1421.22 -7532.34 24546.1
294000 302.576 -83.5297 0.988123 -8955.8 1463.82 -7491.98 24546.1
295000 294.411 -44.2845 0.988123 -8963.75 1424.32 -7539.44 24546.1
296000 299.052 10.909 0.988123 -8937.31 1446.77 -7490.54 24546.1
297000 295.92 -475.235 0.988123 -8912.87 1431.62 -7481.25 24546.1
298000 301.436 -166.593 0.988123 -8864.09 1458.3 -7405.79 24546.1
299000 298.111 -7.22253 0.988123 -8919.68 1442.22 -7477.46 24546.1
300000 298.155 -237.327 0.988123 -8965.64 1442.43 -7523.21 24546.1
301000 294.969 -16.0181 0.988123 -8993.41 1427.02 -7566.39 24546.1
302000 299.482 144.827 0.988123 -8945.15 1448.85 -7496.3 24546.1
303000 289.661 -230.77 0.988123 -8992.39 1401.34 -7591.05 24546.1
304000 295.283 -414.103 0.988123 -9007.49 1428.54 -7578.95 24546.1
305000 299.787 -205.533 0.988123 -8997.47 1450.33 -7547.14 24546.1
306000 297.11 -42.2047 0.988123 -8998.67 1437.38 -7561.29 24546.1
307000 300.639 7.28755 0.988123 -8927.95 1454.45 -7473.51 24546.1
308000 293.163 -69.3335 0.988123 -8956.11 1418.28 -7537.83 24546.1
309000 303.587 332.919 0.988123 -8953.05 1468.71 -7484.34 24546.1
310000 295.74 -85.417 0.988123 -8970.28 1430.75 -7539.53 24546.1
311000 299.982 506.486 0.988123 -8978.85 1451.27 -7527.58 24546.1
312000 298.189 413.709 0.988123 -8962.13 1442.59 -7519.53 24546.1
313000 293.367 30.8065 0.988123 -8995.48 1419.27 -7576.22 24546.1
314000 302.287 4.49887 0.988123 -8956.41 1462.42 -7493.98 24546.1
315000 293.794 -4.12199 0.988123 -9004.49 1421.34 -7583.15 24546.1
316000 298.64 251.109 0.988123 -9001.23 1444.78 -7556.45 24546.1
317000 302.595 127.714 0.988123 -8926.03 1463.91 -7462.12 24546.1
318000 302.557 -3.74017 0.988123 -8921.33 1463.73 -7457.6 24546.1
319000 297.886 9.90009 0.988123 -8974.29 1441.13 -7533.16 24546.1
320000 298.627 25.8939 0.988123 -8924.52 1444.71 -7479.81 24546.1
321000 298.156 -158.557 0.988123 -8918.92 1442.44 -7476.48 24546.1
322000 295.002 -119.247 0.988123 -8946.75 1427.18 -7519.57 24546.1
323000 296.037 -206.46 0.988123 -9015.24 1432.19 -7583.05 24546.1
324000 298.766 -40.6672 0.988123 -8960.77 1445.39 -7515.39 24546.1
325000 297.624 296.043 0.988123 -8932.38 1439.86 -7492.52 24546.1
326000 292.994 -111.776 0.988123 -8965.6 1417.46 -7548.13 24546.1
327000 292.404 -227.256 0.988123 -8931.15 1414.61 -7516.54 24546.1
328000 301.141 213.6 0.988123 -8901.73 1456.88 -7444.85 24546.1
329000 295.733 -91.9724 0.988123 -8933.42 1430.71 -7502.7 24546.1
330000 300.169 64.4575 0.988123 -8956.38 1452.17 -7504.21 24546.1
331000 301.714 -359.565 0.988123 -8879.57 1459.65 -7419.91 24546.1
332000 293.665 -172.357 0.988123 -8916.78 1420.71 -7496.08 24546.1
333000 300.203 345.475 0.988123 -8899.29 1452.34 -7446.95 24546.1
334000 299.248 52.1067 0.988123 -8906.79 1447.72 -7459.07 24546.1
335000 303.774 -574.638 0.988123 -8869.18 1469.62 -7399.56 24546.1
336000 301.311 -216.752 0.988123 -8917.8 1457.7 -7460.1 24546.1
337000 297.327 -346.567 0.988123 -8979.85 1438.43 -7541.43 24546.1
338000 299.005 -346.239 0.988123 -8921.3 1446.54 -7474.75 24546.1
339000 295.97 -7.5608 0.988123 -8910.67 1431.86 -7478.8 24546.1
340000 298.3 -107.124 0.988123 -8987.53 1443.13 -7544.4 24546.1
341000 292.32 -91.5895 0.988123 -9008.53 1414.2 -7594.32 24546.1
342000 299.476 66.2757 0.988123 -8925.56 1448.82 -7476.74 24546.1
343000 295.473 -182.8 0.988123 -8963.96 1429.46 -7534.5 24546.1
344000 290.363 -544.003 0.988123 -8955.9 1404.73 -7551.17 24546.1
345000 297.785 -80.3194 0.988123 -8900.03 1440.64 -7459.39 24546.1
346000 296.426 -36.6803 0.988123 -8916.78 1434.07 -7482.71 24546.1
347000 296.533 -174.77 0.988123 -8958.48 1434.59 -7523.89 24546.1
348000 299.402 69.609 0.988123 -8931.27 1448.46 -7482.81 24546.1
349000 297.672 20.2126 0.988123 -8987.97 1440.09 -7547.88 24546.1
350000 296.592 231.59 0.988123 -8972.48 1434.87 -7537.61 24546.1
351000 298.886 300.636 0.988123 -8945.31 1445.97 -7499.35 24546.1
352000 297.634 320.886 0.988123 -8963.99 1439.91 -7524.09 24546.1
353000 302.585 268.102 0.988123 -8919.95 1463.86 -7456.09 24546.1
354000 296.022 -37.2724 0.988123 -8957.73 1432.11 -7525.62 24546.1
