# Step MSD_caffeine(A^2)
# TimeStep c_cMSDcaf[4]
731000 13.8193
732000 13.1658
733000 13.7336
734000 13.0698
735000 14.1868
736000 13.5978
737000 14.0992
738000 13.5004
739000 13.6426
740000 14.6538
741000 12.5155
742000 10.2954
743000 11.6017
744000 10.4076
745000 11.6417
746000 12.9754
747000 12.8054
748000 11.4678
749000 12.4329
750000 12.5357
751000 10.7312
752000 11.0738
753000 11.8377
754000 10.784
755000 8.149
756000 8.56996
757000 7.07794
758000 8.06116
759000 7.90134
760000 9.30732
761000 7.8911
762000 7.33238
763000 8.20692
764000 7.27552
765000 8.05264
766000 7.36658
767000 8.31253
768000 8.13483
769000 7.92368
770000 6.37864
771000 7.30721
772000 7.01578
773000 7.33147
774000 7.47985
775000 8.09339
776000 5.75736
777000 4.06456
778000 3.33621
779000 4.34335
780000 4.20653
781000 2.97548
782000 5.06927
783000 4.20778
784000 4.06115
785000 5.59604
786000 6.13027
787000 7.52434
788000 8.70671
789000 9.86504
790000 9.50526
791000 10.0366
792000 10.5575
793000 10.8912
794000 8.94695
795000 9.8972
796000 10.7613
797000 9.03858
798000 9.11075
799000 10.9092
800000 9.39306
801000 9.32326
802000 9.10194
803000 11.0934
804000 12.0924
805000 11.8742
806000 11.9095
807000 12.2888
808000 13.657
809000 12.734
810000 11.6442
811000 12.6598
812000 12.8362
813000 12.8816
814000 13.8417
815000 14.6909
816000 16.5177
817000 17.2575
818000 16.2247
819000 15.8901
820000 16.4431
821000 16.9786
822000 16.9072
823000 17.036
824000 17.1602
825000 16.2465
826000 15.6128
827000 13.53
828000 15.049
829000 15.498
830000 13.7684
831000 11.7464
832000 12.9174
833000 14.0582
834000 12.9556
835000 12.7218
836000 12.9007
837000 11.9737
838000 11.6101
839000 12.27
840000 11.4268
841000 12.4788
842000 12.5907
843000 12.0052
844000 11.3299
845000 13.8834
846000 13.6983
847000 12.1084
848000 12.5362
849000 12.121
850000 12.9015
851000 12.5168
852000 11.8157
853000 11.7206
854000 12.1825
855000 12.3122
856000 10.849
857000 9.91428
858000 10.0276
859000 10.0977
860000 10.9463
861000 12.3304
